movie_id,movie_name,year,genre,director,cast
tt3390572,Haider,2014,"Action, Crime, Drama",Vishal Bhardwaj,"Shahid Kapoor, Tabu, Shraddha Kapoor, Kay Kay Menon"
tt13131232,Mission Majnu,2023,"Action, Drama, History",Shantanu Bagchi,"Sidharth Malhotra, Rashmika Mandanna, Parmeet Sethi, Zakir Hussain"
tt1787988,Talaash,2012,"Crime, Drama, Mystery","Reema Kagti, Priyamvada Narayanan","Aamir Khan, Kareena Kapoor, Rani Mukerji, Nawazuddin Siddiqui"
tt4559006,Ae Dil Hai Mushkil,2016,"Drama, Music, Musical",Karan Johar,"Ranbir Kapoor, Aishwarya Rai Bachchan, Anushka Sharma, Fawad Khan"
tt1280558,A Wednesday,2008,"Action, Crime, Drama",Neeraj Pandey,"Anupam Kher, Naseeruddin Shah, Veerendra Saxena, Mahesh Kanual"
tt5638474,Wajah Tum Ho,2016,"Drama, Mystery, Romance",Vishal Pandya,"Sharman Joshi, Sana Khan, Gurmeet Choudhary, Rajneesh Duggal"
tt7098658,Raazi,2018,"Action, Drama, Thriller",Meghna Gulzar,"Alia Bhatt, Vicky Kaushal, Rajit Kapoor, Shishir Sharma"
tt0292490,Dil Chahta Hai,2001,"Comedy, Drama, Romance",Farhan Akhtar,"Aamir Khan, Saif Ali Khan, Akshaye Khanna, Preity G Zinta"
tt13781794,Bye2,2020,"Drama, Romance",Tanveer Hashmi,"Bhushan, Karan, Vipin Singh, Shreya Tyagi"
tt14152140,Darlings,2022,"Comedy, Drama, Thriller",Jasmeet K Reen,"Alia Bhatt, Shefali Shah, Vijay Varma, Roshan Mathew"
tt11460992,Runway 34,2022,"Drama, Thriller",Ajay Devgn,"Ajay Devgn, Amitabh Bachchan, Rakul Preet Singh, CarryMinati"
tt4635372,Masaan,2015,Drama,Neeraj Ghaywan,"Richa Chadha, Sanjay Mishra, Vicky Kaushal, Pankaj Tripathi"
tt6452574,Sanju,2018,"Biography, Comedy, Drama",Rajkumar Hirani,"Ranbir Kapoor, Paresh Rawal, Manisha Koirala, Vicky Kaushal"
tt16077702,Govinda Naam Mera,2022,"Comedy, Crime, Drama",Shashank Khaitan,"Vicky Kaushal, Kiara Advani, Bhumi Pednekar, Renuka Shahane"
tt1839596,Rockstar,2011,"Drama, Music, Romance",Imtiaz Ali,"Ranbir Kapoor, Nargis Fakhri, Shammi Kapoor, Kumud Mishra"
tt5690142,Mom,2017,"Crime, Drama, Thriller",Ravi Udyawar,"Sridevi, Sajal Ali, Akshaye Khanna, Adnan Siddiqui"
tt6988116,Kalank,2019,"Drama, Romance",Abhishek Varman,"Alia Bhatt, Kiara Advani, Sanjay Dutt, Kriti Sanon"
tt10324144,Article 15,2019,"Crime, Drama, Mystery",Anubhav Sinha,"Ayushmann Khurrana, Nassar, Manoj Pahwa, Kumud Mishra"
tt8439854,Lust Stories,2018,"Drama, Romance","Zoya Akhtar, Dibakar Banerjee, Karan Johar, Anurag Kashyap","Kiara Advani, Vicky Kaushal, Bhumi Pednekar, Neil Bhoopalam"
tt13130948,Shehzada,2023,"Action, Comedy, Drama",Rohit Dhawan,"Kartik Aaryan, Kriti Sanon, Paresh Rawal, Manisha Koirala"
tt6527426,Zero,2018,"Comedy, Drama, Romance",Aanand L. Rai,"Shah Rukh Khan, Anushka Sharma, Katrina Kaif, Mohd. Zeeshan Ayyub"
tt13028258,A Thursday,2022,"Drama, Thriller",Behzad Khambata,"Yami Gautam, Atul Kulkarni, Neha Dhupia, Dimple Kapadia"
tt0405508,Rang De Basanti,2006,"Comedy, Crime, Drama",Rakeysh Omprakash Mehra,"Aamir Khan, Soha Ali Khan, Siddharth, Sharman Joshi"
tt9263550,Rocketry: The Nambi Effect,2022,"Biography, Drama",Madhavan,"Madhavan, Simran, Rajit Kapoor, Ravi Raghavendra"
