imdbId,title,releaseYear,genre,actors,directors
tt0265452,Officer,2001,Action | Crime | Drama,Sunil Shetty | Raveena Tandon | Danny Denzongpa | Sadashiv Amrapurkar,Naeem Sha
tt0267363,Chandni Bar,2001,Crime | Drama,Tabu | Atul Kulkarni | Rajpal Yadav | Shri Vallabh Vyas,Madhur Bhandarkar
tt0271604,Kuch Khatti Kuch Meethi,2001,Drama | Family,Kajol | Rishi Kapoor | Rati Agnihotri | Sunil Shetty,Rahul Rawail
tt0272543,Censor,2001,Musical | Romance,Dev Anand | Hema Malini | Shammi Kapoor | Rekha,Dev Anand
tt0272607,Farz,2001,Action,Sunny Deol | Preity Zinta | Jackie Shroff | Om Puri,Raj Kanwar
tt0272735,Mujhe Meri Biwi Se Bachaao,2001,Comedy | Musical | Family,Rekha | Naseeruddin Shah | Arshad Warsi | Suman Ranganathan,Harry Baweja
tt0272736,Mujhse Dosti Karoge!,2002,Musical | Romance | Drama,Rani Mukerji | Hrithik Roshan | Kareena Kapoor | Uday Chopra,Kunal Kohli
tt0273164,Daman: A Victim of Marital Violence,2001,Drama | Family,Raveena Tandon | Sayaji Shinde | Sanjay Suri | Raima Sen,Kalpana Lajmi
tt0273406,Aashiq,2001,Action | Comedy | Drama,Bobby Deol | Rahul Dev | Dinesh Hingoo | Vrajesh Hirjee,Indra Kumar
tt0273535,Dil Ne Phir Yaad Kiya,2001,Drama | Musical | Romance,Sadashiv Amrapurkar | Vinay Anand | Pooja Batra | Govinda,Rajat Rawail
tt0274019,Pyaar Diwana Hota Hai,2002,Romance,Rani Mukerji | Govinda | Om Puri | Laxmikant Berde,Kirti Kumar
tt0275381,Grahan,2001,Drama | Romance,Jackie Shroff | Manisha Koirala | Anupama Verma | Prasad Purandhare,Shashilal K. Nair
tt0277981,Rahul,2001,Drama,Neha | Rajeshwari Sachdev | Gulshan Grover | Nina Kulkarni,Prakash Jha
tt0278291,Ajnabee,2001,Crime | Mystery | Thriller,Akshay Kumar | Bobby Deol | Kareena Kapoor | Bipasha Basu,Abbas Alibhai Burmawalla | Mastan Alibhai Burmawalla
tt0278522,Jodi No.1,2001,Comedy,Sanjay Dutt | Govinda | Twinkle Khanna | Monica Bedi,David Dhawan
tt0279021,Chhupa Rustam: A Musical Thriller,2001,Crime | Drama | Romance,Tinnu Anand | Raj Babbar | Laxmikant Berde | Avtar Gill,Aziz Sejawal
tt0280720,The Guru,2002,Comedy | Fantasy | Music,Jimi Mistry | Heather Graham | Marisa Tomei | Michael McKean,Daisy von Scherler Mayer
tt0281102,Pyaar Tune Kya Kiya...,2001,Thriller,Fardeen Khan | Ravi Baswani | Kannu Gill | Sonali Kulkarni,Rajat Mukherjee
tt0283911,Bas Itna Sa Khwaab Hai...,2001,Romance,Rani Mukerji | Abhishek Bachchan | Sushmita Sen | Jackie Shroff,Goldie Behl
tt0284137,Gadar: Ek Prem Katha,2001,Action | Drama | Romance,Sunny Deol | Ameesha Patel | Amrish Puri | Lillete Dubey,Anil Sharma
tt0284328,Mujhe Kucch Kehna Hai,2001,Romance,Tusshar Kapoor | Kareena Kapoor | Amrish Puri | Rinke Khanna,Satish Kaushik
tt0285319,Paagalpan,2001,Romance,Karan Nath | Aarti Agarwal | Vilas Ujawane | Bharat Dabholkar,Joy Augustine
tt0287537,Love Ke Liye Kuch Bhi Karega,2001,Comedy | Crime | Romance,Saif Ali Khan | Fardeen Khan | Aftab Shivdasani | Sonali Bendre,Eeshwar Nivas
tt0288273,Uljhan,2001,Drama,Puru Rajkumar | Dipti Bhatnagar | Kanchan | Laxmikant Berde,Rajan Johri
tt0289845,Aks,2001,Thriller | Mystery,Amitabh Bachchan | Raveena Tandon | Manoj Bajpayee | Nandita Das,Rakeysh Omprakash Mehra
tt0290326,Tum Bin...: Love Will Find a Way,2001,Drama | Romance,Priyanshu Chatterjee | Himanshu Malik | Sandali Sinha | Raqesh Vashisth,Anubhav Sinha
tt0291376,Nayak: The Real Hero,2001,Drama | Action,Anil Kapoor | Rani Mukerji | Amrish Puri | Johnny Lever,S. Shankar
tt0292490,Dil Chahta Hai,2001,Comedy | Drama,Aamir Khan | Saif Ali Khan | Akshaye Khanna | Preity Zinta,Farhan Akhtar
tt0292552,Hum Ho Gaye Aap Ke,2001,Musical,Fardeen Khan | Reema Sen | Apoorva Agnihotri | Suman Ranganathan,Ahathian | Sunil Kumar Agrawal
tt0292740,Yeh Raaste Hain Pyaar Ke,2001,Romance |Drama,Ajay Devgn | Madhuri Dixit | Preity Zinta | Vikram Gokhale,Deepak S. Shivdasani
tt0293342,Lajja,2001,Drama | Musical | Crime,Rekha | Anil Kapoor | Jackie Shroff | Madhuri Dixit,Rajkumar Santoshi
tt0294662,Kaante,2002,Action | Crime | Drama,Amitabh Bachchan | Sanjay Dutt | Sunil Shetty | Mahesh Manjrekar,Sanjay Gupta
tt0295603,Shirdi Sai Baba,2001,Drama | Mystery,Sudhir Dalvi | Dharmendra | Vikram Gokhale | Rohini Hattangadi,Deepak Balraj Vij
tt0296535,Bollywood Bound,2003,Documentary,Neeru Bajwa | Ruby Bhatia | Vekeana Dhillon | Vikram Dhillon,Nisha Pahuja
tt0296574,Company,2002,Action | Crime | Thriller,Ajay Devgn | Mohanlal | Manisha Koirala | Seema Biswas,Ram Gopal Varma
tt0297983,Ittefaq,2001,Action | Drama | Thriller,Sunil Shetty | Mukul Dev | Pooja Batra | Anupama Verma,Sanjay Khanna
tt0298606,Yeh Teraa Ghar Yeh Meraa Ghar,2001,Comedy | Drama,Sunil Shetty | Mahima Chaudhry | Paresh Rawal | Saurabh Shukla,Priyadarshan
tt0298607,Yeh Zindagi Ka Safar,2001,Drama,Ameesha Patel | Jimmy Shergill | Nafisa Ali | Gulshan Grover,Tanuja Chandra
tt0299108,Rehnaa Hai Terre Dil Mein,2001,Musical,Madhavan | Saif Ali Khan | Dia Mirza | Vrajesh Hirjee,Gautham Menon
tt0300028,Indian,2001,Action | Crime | Drama,Malaika Arora | Raj Babbar | Rana Jung Bahadur | Balwant Bansal,N. Maharajan
tt0301179,Deewaanapan,2001,Romance |Drama,Arjun Rampal | Dia Mirza | Vinod Khanna | Om Puri,Ashu Trikha
tt0301240,Moksha: Salvation,2001,Drama | Thriller,Arjun Rampal | Manisha Koirala | Kalpana Pandit | Suresh Oberoi,Ashok Mehta
tt0301250,Tera Mera Saath Rahen,2001,Drama,Ajay Devgn | Sonali Bendre | Namrata Shirodkar | Prem Chopra,Mahesh Manjrekar
tt0302524,Ehsaas: The Feeling,2001,Drama,Anand Raj Anand | Sunidhi Chauhan | Nagesh Haldankar | Shakti Kapoor,Mahesh Manjrekar
tt0303187,Veer Savarkar,2001,Biography | Drama,Shailendra Gaur | Pankaj Berry | Tom Alter | Hemant Birje,Ved Rahi
tt0305173,Aamdani Atthanni Kharcha Rupaiya,2001,Comedy,Govinda | Juhi Chawla | Tabu | Chandrachur Singh,K. Raghavendra Rao | A.S. Ravindra Babu
tt0305455,Pitaah,2002,Action | Drama,Sanjay Dutt | Nandita Das | Sachin Khedekar | Tanvi Hegde,Mahesh Manjrekar
tt0306434,Aankhen,2002,Comedy | Thriller | Crime,Amitabh Bachchan | Akshay Kumar | Sushmita Sen | Arjun Rampal,Vipul Amrutlal Shah
tt0306840,Koi Mere Dil Se Poochhe,2002,Musical | Romance | Thriller,Jaya Bhaduri | Aftab Shivdasani | Sanjay Kapoor | Juliet Alburque,Vinay Shukla
tt0306855,Style,2001,Musical | Comedy,Sharman Joshi | Sahil Khan | Riya Sen | Shillpi Sharma,N. Chandra
tt0307116,Maa Tujhhe Salaam,2002,Action | Drama,Sunny Deol | Tabu | Arbaaz Khan | Tinnu Verma,Tinnu Verma
tt0307682,Yeh Dil Aashiqanaa,2002,Action | Romance,Jividha Sharma | Mohan Azaad | Arun Bakshi | Rajat Bedi,Sandesh Kohli
tt0307866,Filhaal...,2002,Drama,Tabu | Sushmita Sen | Sanjay Suri | Palash Sen,Meghna Gulzar
tt0308347,Haan Maine Bhi Pyaar Kiya,2002,Musical | Romance,Akshay Kumar | Karisma Kapoor | Abhishek Bachchan | Kader Khan,Dharmesh Darshan
tt0309087,Yeh Mohabbat Hai,2002,Action | Romance,Akanksha Malhotra | Rahul Bhat | Nasir Khan | Pinky Campbell,Umesh Mehra
tt0310254,Tumko Na Bhool Paayenge,2002,Action | Drama | Mystery,Salman Khan | Sushmita Sen | Dia Mirza | Sharat Saxena,Pankaj Parashar
tt0311411,Kranti,2002,Drama,Vinod Khanna | Bobby Deol | Ameesha Patel | Rati Agnihotri,Naresh Malhotra
tt0312664,Escape from Taliban,2003,Drama | Thriller | War,Manisha Koirala | Nawab Shah | Vineeta Malik | Prithvi Zutshi,Ujjwal Chatterjee
tt0312883,Kya Yehi Pyaar Hai,2002,Comedy | Musical | Romance,Jackie Shroff | Aftab Shivdasani | Ameesha Patel | Anupama Verma,K. Muralimohana Rao
tt0313395,Kitne Door... Kitne Paas,2002,Comedy | Romance,Fardeen Khan | Amrita Arora | Satish Shah | Tiku Talsania,Mehul Kumar
tt0313743,Vadh,2002,Mystery | Thriller,Nana Patekar | Anupama Verma | Puru Rajkumar | Nakhul,Nana Patekar
tt0313844,16-Dec,2002,Action | Drama | Mystery,Danny Denzongpa | Gulshan Grover | Milind Soman | Dipannita Sharma,Mani Shankar
tt0314006,Dum,2003,Crime,Vivek Oberoi | Dia Mirza | Atul Kulkarni | Mukesh Rishi,Eeshwar Nivas
tt0314008,Durga,2002,Action |Crime,J.D. Chakravarthi | Snehal Dabi | Jayaprakash | Priyanka,J.D. Chakravarthi
tt0314186,Humko Tumse Pyaar Hai,2006,Romance | Thriller,Arjun Rampal | Ameesha Patel | Bobby Deol | Achint Kaur,Bunty Soorma
tt0315632,Road,2002,Thriller,Manoj Bajpayee | Vivek Oberoi | Antara Mali | Sayaji Shinde,Rajat Mukherjee
tt0315767,Angaar: The Fire,2002,Action,Vinay Anand | Rana Jung Bahadur | Rajat Bedi | Sanober Kabir,Ajay Kashyap
